"id","resignation_submission_id","number_of_employees","k1","k2","k3","k4","k5","k6","k7","created_at","updated_at"
"6",NULL,"1908026159","4","4","4","3","4","4","1","2022-11-23 08:28:36","2022-11-23 08:28:36"
"7",NULL,"2011038244","4","4","4","4","4","3","3","2022-10-24 09:07:49","2022-10-24 09:07:49"
"8",NULL,"2011038156","4","3","4","4","1","4","4","2022-10-25 12:10:48","2022-10-25 12:10:48"
"9",NULL,"2010036895","4","4","4","1","2","4","1","2022-10-27 17:12:11","2022-10-27 17:12:11"
"10",NULL,"1808014782","4","1","4","4","4","2","1","2022-10-27 20:44:21","2022-10-27 20:44:21"
"11",NULL,"2201050313","4","4","4","2","4","4","4","2022-10-28 18:04:11","2022-10-28 18:04:11"
"12",NULL,"1808014508","4","4","3","4","4","4","4","2022-10-28 18:41:58","2022-10-28 18:41:58"
"13",NULL,"2206054714","3","3","3","1","3","4","2","2022-10-29 10:05:11","2022-10-29 10:05:11"
"14",NULL,"1804011863","3","4","4","4","1","3","1","2022-10-31 09:04:55","2022-10-31 09:04:55"
"15",NULL,"2203051907","2","2","2","2","2","2","2","2022-10-31 09:19:15","2022-10-31 09:19:15"
"16",NULL,"2209056155","3","4","4","3","3","3","2","2022-10-31 09:23:49","2022-10-31 09:23:49"
"17",NULL,"2108044423","4","4","4","2","2","4","2","2022-10-31 18:26:06","2022-10-31 18:26:06"
"18",NULL,"1811016759","3","4","4","3","4","4","3","2022-11-01 09:37:04","2022-11-01 09:37:04"
"19",NULL,"2011037956","4","2","3","3","4","3","2","2022-11-01 09:45:43","2022-11-01 09:45:43"
"20",NULL,"1807013834","4","1","4","4","4","4","1","2022-11-01 14:22:40","2022-11-01 14:22:40"
"21",NULL,"1909027524","3","1","1","1","1","4","4","2022-11-01 20:09:32","2022-11-01 20:09:32"
"22",NULL,"2102040692","4","3","2","1","4","3","1","2022-11-02 06:21:39","2022-11-02 06:21:39"
"23",NULL,"2110046887","4","4","4","4","2","4","4","2022-11-02 06:59:02","2022-11-02 06:59:02"
"24",NULL,"1904021405","3","2","4","4","4","4","4","2022-11-02 07:21:15","2022-11-02 07:21:15"
"25",NULL,"1811017236","4","4","4","3","4","4","4","2022-11-02 08:23:27","2022-11-02 08:23:27"
"26",NULL,"2108044194","3","2","3","1","4","4","1","2022-11-02 08:40:21","2022-11-02 08:40:21"
"27",NULL,"1810016298","2","1","1","4","2","2","2","2022-11-02 09:04:07","2022-11-02 09:04:07"
"28",NULL,"2112049688","3","3","3","3","3","3","3","2022-11-02 09:12:31","2022-11-02 09:12:31"
"29",NULL,"1709009181","4","4","4","4","4","4","4","2022-11-02 09:13:37","2022-11-02 09:13:37"
"30",NULL,"2106042761","3","3","3","3","3","3","2","2022-11-02 09:23:25","2022-11-02 09:23:25"
"31",NULL,"2206054584","4","4","4","4","4","4","4","2022-11-02 09:27:45","2022-11-02 09:27:45"
"32",NULL,"1604000807","4","4","4","1","2","4","1","2022-11-02 10:06:20","2022-11-02 10:06:20"
"33",NULL,"2108044426","4","3","3","4","4","3","4","2022-11-02 10:12:34","2022-11-02 10:12:34"
"34",NULL,"1707007780","4","4","4","4","4","4","1","2022-11-02 10:35:48","2022-11-02 10:35:48"
"35",NULL,"2110047660","4","3","2","3","3","4","4","2022-11-02 11:50:05","2022-11-02 11:50:05"
"36",NULL,"1808014596","4","4","4","4","4","4","4","2022-11-02 14:48:16","2022-11-02 14:48:16"
"37",NULL,"1804012335","4","4","4","3","4","4","3","2022-11-02 19:53:17","2022-11-02 19:53:17"
"38",NULL,"1903020199","3","3","2","4","4","3","4","2022-11-03 08:07:23","2022-11-03 08:07:23"
"39",NULL,"1905023093","4","4","4","4","4","4","4","2022-11-03 08:29:32","2022-11-03 08:29:32"
"40",NULL,"1707007281","4","4","4","4","4","4","2","2022-11-03 09:05:30","2022-11-03 09:05:30"
"41",NULL,"2201050472","4","3","4","1","1","4","1","2022-11-03 09:50:09","2022-11-03 09:50:09"
"42",NULL,"1910028300","4","3","3","2","2","4","2","2022-11-03 10:09:30","2022-11-03 10:09:30"
"43",NULL,"2209056317","4","4","4","4","4","4","4","2022-11-03 10:47:44","2022-11-03 10:47:44"
"44",NULL,"2203052137","4","4","4","3","4","4","4","2022-11-04 09:57:52","2022-11-04 09:57:52"
"45",NULL,"2208055451","4","1","2","1","4","2","4","2022-11-04 09:58:24","2022-11-04 09:58:24"
"46",NULL,"2010037271","4","3","4","4","1","4","4","2022-11-04 09:58:55","2022-11-04 09:58:55"
"47",NULL,"2205053794","4","4","4","4","4","4","4","2022-11-04 10:00:13","2022-11-04 10:00:13"
"48",NULL,"2109046208","4","4","4","1","4","1","3","2022-11-04 10:03:16","2022-11-04 10:03:16"
"49",NULL,"2203052411","3","2","2","2","2","3","1","2022-11-04 10:28:05","2022-11-04 10:28:05"
"50",NULL,"2206055089","3","1","4","2","4","4","3","2022-11-04 10:31:36","2022-11-04 10:31:36"
"51",NULL,"2208055614","4","4","3","1","4","4","1","2022-11-04 10:34:34","2022-11-04 10:34:34"
